"Customers Who Bought This Also Bought","Customers Who Bought This Also Bought"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"unselect all","unselect all"
"Add to Wishlist","Add to Wishlist"
"Who Bought This Also Bought", "Who Bought This Also Bought"
"General Options", "General Options"
"Enabled", "Enabled"
"Show products from one category only", "Show products from one category only"
"Products to display", "Products to display"
"Process orders", "Process orders"
"Shopping Cart Block", "Shopping Cart Block"
"Yes", "Yes"
"No", "No"
"Add to Cart", "Add to Cart"
