"All Websites","全てのウェブサイト"
"Apply Discounts To FPT","FPTに値引きを適用する"
"Apply Tax To FPT","FPTに課税する"
"Display Prices In Emails","メールにFPT額を記載する"
"Display Prices In Product Lists","商品一覧にFPT額を表示する"
"Display Prices In Sales Modules","SalesモジュールでFPT額を表示する"
"Display Prices On Product View Page","商品画面でFPT額を表示する"
"Enable FPT","FPTを有効にする"
"Excluding FPT","固定商品税を除く"
"Excluding FPT, FPT description, final price","固定商品税、その説明、固定商品税を含んだ価格を除く"
"Fixed Product Tax","商品固定税"
"Fixed Product Taxes","商品固定税"
"Include FPT In Subtotal","小計にFPTを含める"
"Including FPT and FPT description","固定商品税とその説明を含める"
"Including FPT and FPT description [incl. FPT VAT]","FPT込価格とFPT概要 [FPT 付加価値税を含む]"
"Including FPT only","固定商品税のみ含める"
"Total","合計"
"Total Incl. Tax","税込合計"
"Total incl. tax","合計税込額"
"Not Taxed","課税しない"
"Taxed","課税"
"Loaded and Displayed with Tax","ロードし、税とともに表示"
